Associated Gene Name	Description	Gene Biotype
GLTPD1	glycolipid transfer protein domain containing 1	protein_coding
KIF15	kinesin family member 15	protein_coding
LOX	lysyl oxidase	protein_coding
HMOX1	heme oxygenase (decycling) 1	protein_coding
LXN	latexin	protein_coding
IMP4	IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)	protein_coding
NRXN1	neurexin 1	protein_coding
NDUFS2	NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49kDa (NADH-coenzyme Q reductase)	protein_coding
LTBP3	latent transforming growth factor beta binding protein 3	protein_coding
STK32C	serine/threonine kinase 32C	protein_coding
TAS1R3	taste receptor, type 1, member 3	protein_coding
BBS9	Bardet-Biedl syndrome 9	protein_coding
RARRES1	retinoic acid receptor responder (tazarotene induced) 1	protein_coding
OVOL1	ovo-like 1(Drosophila)	protein_coding
TXNDC5	thioredoxin domain containing 5 (endoplasmic reticulum)	protein_coding
MYL10	myosin, light chain 10, regulatory	protein_coding
TAF10	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa	protein_coding
NEDD1	neural precursor cell expressed, developmentally down-regulated 1	protein_coding
CFL1	cofilin 1 (non-muscle)	protein_coding
MCM5	minichromosome maintenance complex component 5	protein_coding
RRN3	RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae)	protein_coding
RP11-696N14.1		lincRNA
RPL8	ribosomal protein L8	protein_coding
TMEM8C	transmembrane protein 8C	protein_coding
EPHB2	EPH receptor B2	protein_coding
ACAD10	acyl-CoA dehydrogenase family, member 10	protein_coding
DENND5B	DENN/MADD domain containing 5B	protein_coding
CUX1	cut-like homeobox 1	protein_coding
RRM2	ribonucleotide reductase M2	protein_coding
TBCEL	tubulin folding cofactor E-like	protein_coding
TFCP2	transcription factor CP2	protein_coding
CLEC1B	C-type lectin domain family 1, member B	protein_coding
FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	protein_coding
RNASET2	ribonuclease T2	protein_coding
AIG1	androgen-induced 1	protein_coding
APOA2	apolipoprotein A-II	protein_coding
PIGZ	phosphatidylinositol glycan anchor biosynthesis, class Z	protein_coding
DVL1	dishevelled, dsh homolog 1 (Drosophila)	protein_coding
ZNF76	zinc finger protein 76	protein_coding
AC073133.1		lincRNA
NAV2	neuron navigator 2	protein_coding
AC073871.2		lincRNA
MFI2	antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5	protein_coding
HAND1	heart and neural crest derivatives expressed 1	protein_coding
CTC-228N24.3		lincRNA
ADAM12	ADAM metallopeptidase domain 12	protein_coding
EIF4H	eukaryotic translation initiation factor 4H	protein_coding
PTPN18	protein tyrosine phosphatase, non-receptor type 18 (brain-derived)	protein_coding
TCF21	transcription factor 21	protein_coding
HLA-L	major histocompatibility complex, class I, L (pseudogene)	pseudogene
CALB2	calbindin 2	protein_coding
CCR9	chemokine (C-C motif) receptor 9	protein_coding
GLRA4	glycine receptor, alpha 4	protein_coding
HCG18	HLA complex group 18 (non-protein coding)	processed_transcript
SIRT7	sirtuin 7	protein_coding
C3orf78	chromosome 3 open reading frame 78	protein_coding
RP4-805N21.1	uncharacterized protein LOC729059	protein_coding
RAB6A	RAB6A, member RAS oncogene family	protein_coding
KDM1A	lysine (K)-specific demethylase 1A	protein_coding
KRT80	keratin 80	protein_coding
AVIL	advillin	protein_coding
LARP1	La ribonucleoprotein domain family, member 1	protein_coding
HEPN1	hepatocellular carcinoma, down-regulated 1	protein_coding
HK1	hexokinase 1	protein_coding
CCDC15	coiled-coil domain containing 15	protein_coding
TPP1	tripeptidyl peptidase I	protein_coding
C18orf8	chromosome 18 open reading frame 8	protein_coding
ORC5	origin recognition complex, subunit 5	protein_coding
SIX3	SIX homeobox 3	protein_coding
SIX2	SIX homeobox 2	protein_coding
ZNF10	zinc finger protein 10	protein_coding
XPOT	exportin, tRNA (nuclear export receptor for tRNAs)	protein_coding
CDK5RAP1	CDK5 regulatory subunit associated protein 1	protein_coding
GCFC1	GC-rich sequence DNA-binding factor 1	protein_coding
MMP17	matrix metallopeptidase 17 (membrane-inserted)	protein_coding
FYCO1	FYVE and coiled-coil domain containing 1	protein_coding
RBM27	RNA binding motif protein 27	protein_coding
SURF6	surfeit 6	protein_coding
DLG1	discs, large homolog 1 (Drosophila)	protein_coding
C7orf45	chromosome 7 open reading frame 45	protein_coding
PBRM1	polybromo 1	protein_coding
CCDC54	coiled-coil domain containing 54	protein_coding
CPA2	carboxypeptidase A2 (pancreatic)	protein_coding
MFSD1	major facilitator superfamily domain containing 1	protein_coding
CPM	carboxypeptidase M	protein_coding
POLH	polymerase (DNA directed), eta	protein_coding
PLA2G12A	phospholipase A2, group XIIA	protein_coding
RP5-1121A15.1		antisense
SRBD1	S1 RNA binding domain 1	protein_coding
SULT1A3	Sulfotransferase 1A3/1A4	protein_coding
SULT1A3	Sulfotransferase 1A3/1A4	protein_coding
TECTA	tectorin alpha	protein_coding
PTPRJ	protein tyrosine phosphatase, receptor type, J	protein_coding
PCGF5	polycomb group ring finger 5	protein_coding
TIMM10	translocase of inner mitochondrial membrane 10 homolog (yeast)	protein_coding
TMEM14E	transmembrane protein 14E	protein_coding
P2RY1	purinergic receptor P2Y, G-protein coupled, 1	protein_coding
SMTNL1	smoothelin-like 1	protein_coding
SEL1L	sel-1 suppressor of lin-12-like (C. elegans)	protein_coding
RAP2B	RAP2B, member of RAS oncogene family	protein_coding
PDE12	phosphodiesterase 12	protein_coding
SLC5A11	solute carrier family 5 (sodium/glucose cotransporter), member 11	protein_coding
C3orf79	chromosome 3 open reading frame 79	protein_coding
COL9A1	collagen, type IX, alpha 1	protein_coding
SOX13	SRY (sex determining region Y)-box 13	protein_coding
OSMR	oncostatin M receptor	protein_coding
ARF4	ADP-ribosylation factor 4	protein_coding
ARHGEF26	Rho guanine nucleotide exchange factor (GEF) 26	protein_coding
KRT7	keratin 7	protein_coding
RASD2	RASD family, member 2	protein_coding
NPC1	Niemann-Pick disease, type C1	protein_coding
MB	myoglobin	protein_coding
ADAMTSL2	ADAMTS-like 2	protein_coding
SLC37A2	solute carrier family 37 (glycerol-3-phosphate transporter), member 2	protein_coding
SNX32	sorting nexin 32	protein_coding
SC5DL	sterol-C5-desaturase (ERG3 delta-5-desaturase homolog, S. cerevisiae)-like	protein_coding
ADAT2	adenosine deaminase, tRNA-specific 2	protein_coding
FLOT1	flotillin 1	protein_coding
BBX	bobby sox homolog (Drosophila)	protein_coding
TMEM31	transmembrane protein 31	protein_coding
PCNAP1	proliferating cell nuclear antigen pseudogene 1	pseudogene
GATSL1	GATS protein-like 1	protein_coding
MUTED	muted homolog (mouse)	protein_coding
NCK2	NCK adaptor protein 2	protein_coding
HSP90AB1	heat shock protein 90kDa alpha (cytosolic), class B member 1	protein_coding
APOL6	apolipoprotein L, 6	protein_coding
ZNF23	zinc finger protein 23 (KOX 16)	protein_coding
UBE2L6	ubiquitin-conjugating enzyme E2L 6	protein_coding
APOL5	apolipoprotein L, 5	protein_coding
OVCH1	ovochymase 1	protein_coding
AC011899.9		antisense
PLP1	proteolipid protein 1	protein_coding
HOXA-AS4	HOXA cluster antisense RNA 4 (non-protein coding)	antisense
RBFOX2	RNA binding protein, fox-1 homolog (C. elegans) 2	protein_coding
ULK1	unc-51-like kinase 1 (C. elegans)	protein_coding
OBFC2A	oligonucleotide/oligosaccharide-binding fold containing 2A	protein_coding
CXCR4	chemokine (C-X-C motif) receptor 4	protein_coding
AHI1	Abelson helper integration site 1	protein_coding
ZNF385D	zinc finger protein 385D	protein_coding
ANKRD29	ankyrin repeat domain 29	protein_coding
WBSCR16	Williams-Beuren syndrome chromosome region 16	protein_coding
VWC2	von Willebrand factor C domain containing 2	protein_coding
SDHD	succinate dehydrogenase complex, subunit D, integral membrane protein	protein_coding
RP11-202P11.1		lincRNA
THSD7B	thrombospondin, type I, domain containing 7B	protein_coding
ZPBP	zona pellucida binding protein	protein_coding
FAM116A	family with sequence similarity 116, member A	protein_coding
LAMA3	laminin, alpha 3	protein_coding
C2orf40	chromosome 2 open reading frame 40	protein_coding
C2orf48	chromosome 2 open reading frame 48	protein_coding
SPSB3	splA/ryanodine receptor domain and SOCS box containing 3	protein_coding
MED22	mediator complex subunit 22	protein_coding
AC004863.6		lincRNA
LUZP1	leucine zipper protein 1	protein_coding
ETNK2	ethanolamine kinase 2	protein_coding
SERPING1	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1	protein_coding
HOTTIP	HOXA distal transcript antisense RNA (non-protein coding)	antisense
DHX36	DEAH (Asp-Glu-Ala-His) box polypeptide 36	protein_coding
ZNF268	zinc finger protein 268	protein_coding
GTF3C1	general transcription factor IIIC, polypeptide 1, alpha 220kDa	protein_coding
HTR1D	5-hydroxytryptamine (serotonin) receptor 1D, G protein-coupled	protein_coding
SNTA1	syntrophin, alpha 1 (dystrophin-associated protein A1, 59kDa, acidic component)	protein_coding
UXS1	UDP-glucuronate decarboxylase 1	protein_coding
ASB8	ankyrin repeat and SOCS box containing 8	protein_coding
C9orf153	chromosome 9 open reading frame 153	protein_coding
HNRNPR	heterogeneous nuclear ribonucleoprotein R	protein_coding
PEX3	peroxisomal biogenesis factor 3	protein_coding
EEF1E1	eukaryotic translation elongation factor 1 epsilon 1	protein_coding
CBFA2T2	core-binding factor, runt domain, alpha subunit 2; translocated to, 2	protein_coding
REEP2	receptor accessory protein 2	protein_coding
ISCA1	iron-sulfur cluster assembly 1 homolog (S. cerevisiae)	protein_coding
OR7C1	olfactory receptor, family 7, subfamily C, member 1	protein_coding
CPSF6	cleavage and polyadenylation specific factor 6, 68kDa	protein_coding
OR7A5	olfactory receptor, family 7, subfamily A, member 5	protein_coding
OR7A10	olfactory receptor, family 7, subfamily A, member 10	protein_coding
OR7A17	olfactory receptor, family 7, subfamily A, member 17	protein_coding
OR7C2	olfactory receptor, family 7, subfamily C, member 2	protein_coding
SLC1A6	solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6	protein_coding
MXRA8	matrix-remodelling associated 8	protein_coding
POU4F3	POU class 4 homeobox 3	protein_coding
HPCAL1	hippocalcin-like 1	protein_coding
CFI	complement factor I	protein_coding
EIF2S1	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa	protein_coding
TCERG1	transcription elongation regulator 1	protein_coding
CSN1S2AP	casein alpha s2-like A, pseudogene	pseudogene
CCDC105	coiled-coil domain containing 105	protein_coding
CASP14	caspase 14, apoptosis-related cysteine peptidase	protein_coding
OR1I1	olfactory receptor, family 1, subfamily I, member 1	protein_coding
MUSTN1	musculoskeletal, embryonic nuclear protein 1	protein_coding
LHFPL3	lipoma HMGIC fusion partner-like 3	protein_coding
CXCR6	chemokine (C-X-C motif) receptor 6	protein_coding
TMTC1	transmembrane and tetratricopeptide repeat containing 1	protein_coding
SDPR	serum deprivation response	protein_coding
SLC35B3	solute carrier family 35, member B3	protein_coding
APOL3	apolipoprotein L, 3	protein_coding
TMEFF2	transmembrane protein with EGF-like and two follistatin-like domains 2	protein_coding
SORL1	sortilin-related receptor, L(DLR class) A repeats containing	protein_coding
HECTD2	HECT domain containing E3 ubiquitin protein ligase 2	protein_coding
TBK1	TANK-binding kinase 1	protein_coding
GTF2IRD2B	GTF2I repeat domain containing 2B	protein_coding
FAM163B	family with sequence similarity 163, member B	protein_coding
ZCCHC6	zinc finger, CCHC domain containing 6	protein_coding
LRRC27	leucine rich repeat containing 27	protein_coding
TMEM218	transmembrane protein 218	protein_coding
ZNF436	zinc finger protein 436	protein_coding
TBPL1	TBP-like 1	protein_coding
TMEM110-MUSTN1	TMEM110-MUSTN1 readthrough	protein_coding
PSORS1C3	psoriasis susceptibility 1 candidate 3 (non-protein coding)	processed_transcript
PNPLA7	patatin-like phospholipase domain containing 7	protein_coding
HCG27	HLA complex group 27 (non-protein coding)	processed_transcript
NECAB3	N-terminal EF-hand calcium binding protein 3	protein_coding
SLC39A10	solute carrier family 39 (zinc transporter), member 10	protein_coding
GTPBP2	GTP binding protein 2	protein_coding
PRKCE	protein kinase C, epsilon	protein_coding
RAB35	RAB35, member RAS oncogene family	protein_coding
PTCD2	pentatricopeptide repeat domain 2	protein_coding
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	protein_coding
HCP5	HLA complex P5 (non-protein coding)	processed_transcript
XCR1	chemokine (C motif) receptor 1	protein_coding
RNF138P1	ring finger protein 138, E3 ubiquitin protein ligase pseudogene 1	pseudogene
DBH	dopamine beta-hydroxylase (dopamine beta-monooxygenase)	protein_coding
CDH1	cadherin 1, type 1, E-cadherin (epithelial)	protein_coding
C1orf213	chromosome 1 open reading frame 213	protein_coding
CCR3	chemokine (C-C motif) receptor 3	protein_coding
TMEM108	transmembrane protein 108	protein_coding
TCEA3	transcription elongation factor A (SII), 3	protein_coding
AC139099.3		pseudogene
TMEM110	transmembrane protein 110	protein_coding
PUS1	pseudouridylate synthase 1	protein_coding
C19orf77	chromosome 19 open reading frame 77	protein_coding
DOHH	deoxyhypusine hydroxylase/monooxygenase	protein_coding
C21orf62	chromosome 21 open reading frame 62	protein_coding
C6orf47	chromosome 6 open reading frame 47	protein_coding
FZR1	fizzy/cell division cycle 20 related 1 (Drosophila)	protein_coding
ARCN1	archain 1	protein_coding
C7orf72	chromosome 7 open reading frame 72	protein_coding
GPANK1	G patch domain and ankyrin repeats 1	protein_coding
ELMO1	engulfment and cell motility 1	protein_coding
UBE2E2	ubiquitin-conjugating enzyme E2E 2	protein_coding
ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	protein_coding
RICTOR	RPTOR independent companion of MTOR, complex 2	protein_coding
MUS81	MUS81 endonuclease homolog (S. cerevisiae)	protein_coding
OLIG2	oligodendrocyte lineage transcription factor 2	protein_coding
APOL4	apolipoprotein L, 4	protein_coding
IKZF1	IKAROS family zinc finger 1 (Ikaros)	protein_coding
GPR52	G protein-coupled receptor 52	protein_coding
SRRT	serrate RNA effector molecule homolog (Arabidopsis)	protein_coding
FLRT2	fibronectin leucine rich transmembrane protein 2	protein_coding
CACYBP	calcyclin binding protein	protein_coding
PAQR9	progestin and adipoQ receptor family member IX	protein_coding
RPL7A	ribosomal protein L7a	protein_coding
RPL7A	ribosomal protein L7a	protein_coding
RPL7A	ribosomal protein L7a	protein_coding
RPL7A	ribosomal protein L7a	protein_coding
CSNK2B	casein kinase 2, beta polypeptide	protein_coding
GAR1	GAR1 ribonucleoprotein homolog (yeast)	protein_coding
U2SURP	U2 snRNP-associated SURP domain containing	protein_coding
OLIG1	oligodendrocyte transcription factor 1	protein_coding
XXbac-BPG246D15.8		processed_transcript
C19orf71	chromosome 19 open reading frame 71	protein_coding
HMG20B	high mobility group 20B	protein_coding
APOL2	apolipoprotein L, 2	protein_coding
RP11-304N14.2		lincRNA
LY6G5B	lymphocyte antigen 6 complex, locus G5B	protein_coding
ALX4	ALX homeobox 4	protein_coding
SFMBT1	Scm-like with four mbt domains 1	protein_coding
CRTC3	CREB regulated transcription coactivator 3	protein_coding
IFNAR2	interferon (alpha, beta and omega) receptor 2	protein_coding
PPP1R3C	protein phosphatase 1, regulatory subunit 3C	protein_coding
DNAH7	dynein, axonemal, heavy chain 7	protein_coding
UBD	ubiquitin D	protein_coding
LY6G5C	lymphocyte antigen 6 complex, locus G5C	protein_coding
APOL1	apolipoprotein L, 1	protein_coding
GALC	galactosylceramidase	protein_coding
FBXO30	F-box protein 30	protein_coding
OXSM	3-oxoacyl-ACP synthase, mitochondrial	protein_coding
LDHC	lactate dehydrogenase C	protein_coding
CD82	CD82 molecule	protein_coding
CNOT2	CCR4-NOT transcription complex, subunit 2	protein_coding
OR2H2	olfactory receptor, family 2, subfamily H, member 2	protein_coding
CLEC18A	C-type lectin domain family 18, member A	protein_coding
MOG	myelin oligodendrocyte glycoprotein	protein_coding
METTL20	methyltransferase like 20	protein_coding
MRPS14	mitochondrial ribosomal protein S14	protein_coding
TNN	tenascin N	protein_coding
HLA-DPB2	major histocompatibility complex, class II, DP beta 2 (pseudogene)	pseudogene
PLEK2	pleckstrin 2	protein_coding
ODC1	ornithine decarboxylase 1	protein_coding
CTDSP2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2	protein_coding
EGR1	early growth response 1	protein_coding
BDH1	3-hydroxybutyrate dehydrogenase, type 1	protein_coding
AMN1	antagonist of mitotic exit network 1 homolog (S. cerevisiae)	protein_coding
TMEM229B	transmembrane protein 229B	protein_coding
TNR	tenascin R (restrictin, janusin)	protein_coding
C20orf144	chromosome 20 open reading frame 144	protein_coding
C10orf90	chromosome 10 open reading frame 90	protein_coding
CD2BP2	CD2 (cytoplasmic tail) binding protein 2	protein_coding
E2F1	E2F transcription factor 1	protein_coding
CPA4	carboxypeptidase A4	protein_coding
PHLDB1	pleckstrin homology-like domain, family B, member 1	protein_coding
PXMP4	peroxisomal membrane protein 4, 24kDa	protein_coding
SLC2A12	solute carrier family 2 (facilitated glucose transporter), member 12	protein_coding
C12orf68	chromosome 12 open reading frame 68	protein_coding
RASSF3	Ras association (RalGDS/AF-6) domain family member 3	protein_coding
IL10RB	interleukin 10 receptor, beta	protein_coding
SALL1	sal-like 1 (Drosophila)	protein_coding
MBL1P	mannose-binding lectin (protein A) 1, pseudogene	pseudogene
MBL1P	mannose-binding lectin (protein A) 1, pseudogene	pseudogene
GIPC3	GIPC PDZ domain containing family, member 3	protein_coding
ZNF341	zinc finger protein 341	protein_coding
OR10AD1	olfactory receptor, family 10, subfamily AD, member 1	protein_coding
H1FNT	H1 histone family, member N, testis-specific	protein_coding
RFWD2	ring finger and WD repeat domain 2, E3 ubiquitin protein ligase	protein_coding
AC021066.1	Keratin, type II cuticular Hb6	protein_coding
MAP7D3	MAP7 domain containing 3	protein_coding
SARDH	sarcosine dehydrogenase	protein_coding
ZNF641	zinc finger protein 641	protein_coding
SGK1	serum/glucocorticoid regulated kinase 1	protein_coding
KIAA0226	KIAA0226	protein_coding
CTC-512J14.5		pseudogene
TMPO	thymopoietin	protein_coding
UBE2E1	ubiquitin-conjugating enzyme E2E 1	protein_coding
IL18	interleukin 18 (interferon-gamma-inducing factor)	protein_coding
TTC39C	tetratricopeptide repeat domain 39C	protein_coding
ABHD16A	abhydrolase domain containing 16A	protein_coding
MLL5	myeloid/lymphoid or mixed-lineage leukemia 5 (trithorax homolog, Drosophila)	protein_coding
GNS	glucosamine (N-acetyl)-6-sulfatase	protein_coding
KRT86	keratin 86	protein_coding
IFNAR1	interferon (alpha, beta and omega) receptor 1	protein_coding
CCR1	chemokine (C-C motif) receptor 1	protein_coding
MYH9	myosin, heavy chain 9, non-muscle	protein_coding
ZNF517	zinc finger protein 517	protein_coding
TBC1D10B	TBC1 domain family, member 10B	protein_coding
RP11-152O14.5	uncharacterized protein LOC388276	protein_coding
STK17B	serine/threonine kinase 17b	protein_coding
ETF1	eukaryotic translation termination factor 1	protein_coding
GCN1L1	GCN1 general control of amino-acid synthesis 1-like 1 (yeast)	protein_coding
KRT81	keratin 81	protein_coding
PLEKHH1	pleckstrin homology domain containing, family H (with MyTH4 domain) member 1	protein_coding
RCE1	RCE1 homolog, prenyl protein protease (S. cerevisiae)	protein_coding
TRAPPC2L	trafficking protein particle complex 2-like	protein_coding
RRH	retinal pigment epithelium-derived rhodopsin homolog	protein_coding
CABYR	calcium binding tyrosine-(Y)-phosphorylation regulated	protein_coding
TNKS2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2	protein_coding
CCR2	chemokine (C-C motif) receptor 2	protein_coding
FYTTD1	forty-two-three domain containing 1	protein_coding
FIGNL1	fidgetin-like 1	protein_coding
RFT1	RFT1 homolog (S. cerevisiae)	protein_coding
PPBPL2	pro-platelet basic protein-like 2	pseudogene
TBXA2R	thromboxane A2 receptor	protein_coding
ARHGAP17	Rho GTPase activating protein 17	protein_coding
C19orf29	chromosome 19 open reading frame 29	protein_coding
YPEL4	yippee-like 4 (Drosophila)	protein_coding
FGFR1OP	FGFR1 oncogene partner	protein_coding
IFNGR2	interferon gamma receptor 2 (interferon gamma transducer 1)	protein_coding
SH2B2	SH2B adaptor protein 2	protein_coding
RP11-369J21.5		lincRNA
PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase, type I, gamma	protein_coding
EPAS1	endothelial PAS domain protein 1	protein_coding
TEX12	testis expressed 12	protein_coding
MYD88	myeloid differentiation primary response gene (88)	protein_coding
TOX3	TOX high mobility group box family member 3	protein_coding
BLM	Bloom syndrome, RecQ helicase-like	protein_coding
LRIT3	leucine-rich repeat, immunoglobulin-like and transmembrane domains 3	protein_coding
ZFP57	zinc finger protein 57 homolog (mouse)	protein_coding
LRRC3B	leucine rich repeat containing 3B	protein_coding
TJP3	tight junction protein 3 (zona occludens 3)	protein_coding
ASB9P1	ankyrin repeat and SOCS box containing 9 pseudogene 1	pseudogene
BCO2	beta-carotene oxygenase 2	protein_coding
XRCC6BP1	XRCC6 binding protein 1	protein_coding
NUBP2	nucleotide binding protein 2	protein_coding
HLA-F	major histocompatibility complex, class I, F	protein_coding
OSBPL1A	oxysterol binding protein-like 1A	protein_coding
NOL10	nucleolar protein 10	protein_coding
MRPL48	mitochondrial ribosomal protein L48	protein_coding
PRKRIP1	PRKR interacting protein 1 (IL11 inducible)	protein_coding
PRKRIP1	PRKR interacting protein 1 (IL11 inducible)	protein_coding
E2F2	E2F transcription factor 2	protein_coding
PWWP2B	PWWP domain containing 2B	protein_coding
AC034220.3		processed_transcript
ID3	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	protein_coding
SLC35B2	solute carrier family 35, member B2	protein_coding
SLC35B2	solute carrier family 35, member B2	protein_coding
ZNF19	zinc finger protein 19	protein_coding
LRIG3	leucine-rich repeats and immunoglobulin-like domains 3	protein_coding
CHMP4B	charged multivesicular body protein 4B	protein_coding
HECW2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2	protein_coding
RP11-40F6.2		lincRNA
RALY	RNA binding protein, autoantigenic (hnRNP-associated with lethal yellow homolog (mouse))	protein_coding
RAB9B	RAB9B, member RAS oncogene family	protein_coding
TSPAN18	tetraspanin 18	protein_coding
CTC-281B15.1		processed_transcript
NEK10	NIMA (never in mitosis gene a)- related kinase 10	protein_coding
TACR2	tachykinin receptor 2	protein_coding
TMEM50B	transmembrane protein 50B	protein_coding
RIPPLY2	ripply2 homolog (zebrafish)	protein_coding
TMSB15B	thymosin beta 15B	protein_coding
TMSB15B	thymosin beta 15B	protein_coding
LY6G6F	lymphocyte antigen 6 complex, locus G6F	protein_coding
IPO8	importin 8	protein_coding
FNDC9	fibronectin type III domain containing 9	protein_coding
EFEMP2	EGF containing fibulin-like extracellular matrix protein 2	protein_coding
CCR5	chemokine (C-C motif) receptor 5 (gene/pseudogene)	protein_coding
EGF	epidermal growth factor	protein_coding
SLMAP	sarcolemma associated protein	protein_coding
ZNF7	zinc finger protein 7	protein_coding
LY6G6D	lymphocyte antigen 6 complex, locus G6D	protein_coding
FAM135A	family with sequence similarity 135, member A	protein_coding
TMCO7	transmembrane and coiled-coil domains 7	protein_coding
RPL11	ribosomal protein L11	protein_coding
DNAJC28	DnaJ (Hsp40) homolog, subfamily C, member 28	protein_coding
C6orf25	chromosome 6 open reading frame 25	protein_coding
KRT83	keratin 83	protein_coding
IMPACT	Impact homolog (mouse)	protein_coding
TCEB3	transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)	protein_coding
BLMH	bleomycin hydrolase	protein_coding
NKIRAS1	NFKB inhibitor interacting Ras-like 1	protein_coding
ADAM19	ADAM metallopeptidase domain 19	protein_coding
C10orf91	chromosome 10 open reading frame 91	protein_coding
EIF2S2	eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa	protein_coding
PART1	prostate androgen-regulated transcript 1 (non-protein coding)	lincRNA
HLA-G	major histocompatibility complex, class I, G	protein_coding
GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	protein_coding
TMIGD1	transmembrane and immunoglobulin domain containing 1	protein_coding
LRCH3	leucine-rich repeats and calponin homology (CH) domain containing 3	protein_coding
CPD	carboxypeptidase D	protein_coding
ASIP	agouti signaling protein	protein_coding
IER3	immediate early response 3	protein_coding
PRKCD	protein kinase C, delta	protein_coding
INPP5A	inositol polyphosphate-5-phosphatase, 40kDa	protein_coding
AHCY	adenosylhomocysteinase	protein_coding
LDHAL6A	lactate dehydrogenase A-like 6A	protein_coding
ZFP36L2	zinc finger protein 36, C3H type-like 2	protein_coding
LY6G6C	lymphocyte antigen 6 complex, locus G6C	protein_coding
TSPAN15	tetraspanin 15	protein_coding
MUSK	muscle, skeletal, receptor tyrosine kinase	protein_coding
PLEKHH2	pleckstrin homology domain containing, family H (with MyTH4 domain) member 2	protein_coding
GOSR1	golgi SNAP receptor complex member 1	protein_coding
GPR151	G protein-coupled receptor 151	protein_coding
DDAH2	dimethylarginine dimethylaminohydrolase 2	protein_coding
ITCH	itchy E3 ubiquitin protein ligase	protein_coding
MRPL41	mitochondrial ribosomal protein L41	protein_coding
HSPA9	heat shock 70kDa protein 9 (mortalin)	protein_coding
ANP32D	acidic (leucine-rich) nuclear phosphoprotein 32 family, member D	protein_coding
PPP2R2B	protein phosphatase 2, regulatory subunit B, beta	protein_coding
CYB5R4	cytochrome b5 reductase 4	protein_coding
DPYD	dihydropyrimidine dehydrogenase	protein_coding
HLA-A	major histocompatibility complex, class I, A	protein_coding
H2BFWT	H2B histone family, member W, testis-specific	protein_coding
PDPR	pyruvate dehydrogenase phosphatase regulatory subunit	protein_coding
H2BFM	H2B histone family, member M	protein_coding
PITHD1	PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1	protein_coding
TXN2	thioredoxin 2	protein_coding
HAS3	hyaluronan synthase 3	protein_coding
FYB	FYN binding protein	protein_coding
KRT85	keratin 85	protein_coding
CCDC150	coiled-coil domain containing 150	protein_coding
TBC1D29	TBC1 domain family, member 29	protein_coding
H3F3C	H3 histone, family 3C	protein_coding
C12orf35	chromosome 12 open reading frame 35	protein_coding
FUCA2	fucosidase, alpha-L- 2, plasma	protein_coding
CRLF3	cytokine receptor-like factor 3	protein_coding
CLIC1	chloride intracellular channel 1	protein_coding
SSSCA1	Sjogren syndrome/scleroderma autoantigen 1	protein_coding
DDR1	discoidin domain receptor tyrosine kinase 1	protein_coding
DDR1	discoidin domain receptor tyrosine kinase 1	protein_coding
FOXRED2	FAD-dependent oxidoreductase domain containing 2	protein_coding
SNX7	sorting nexin 7	protein_coding
CHD9	chromodomain helicase DNA binding protein 9	protein_coding
BMPER	BMP binding endothelial regulator	protein_coding
HRH4	histamine receptor H4	protein_coding
NFKBIE	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon	protein_coding
ORAI2	ORAI calcium release-activated calcium modulator 2	protein_coding
C12orf54	chromosome 12 open reading frame 54	protein_coding
LYZ	lysozyme	protein_coding
ZNF521	zinc finger protein 521	protein_coding
SLC16A7	solute carrier family 16, member 7 (monocarboxylic acid transporter 2)	protein_coding
DYNLRB1	dynein, light chain, roadblock-type 1	protein_coding
ZNRD1	zinc ribbon domain containing 1	protein_coding
ASB3	ankyrin repeat and SOCS box containing 3	protein_coding
ASB3	ankyrin repeat and SOCS box containing 3	protein_coding
SS18	synovial sarcoma translocation, chromosome 18	protein_coding
ATAD5	ATPase family, AAA domain containing 5	protein_coding
PAIP2	poly(A) binding protein interacting protein 2	protein_coding
DOCK1	dedicator of cytokinesis 1	protein_coding
WDR85	WD repeat domain 85	protein_coding
MAP1LC3A	microtubule-associated protein 1 light chain 3 alpha	protein_coding
MSH5	mutS homolog 5 (E. coli)	protein_coding
LYPLA2	lysophospholipase II	protein_coding
