Associated Gene Name	Description	Gene Biotype	NA
MDC1	mediator of DNA-damage checkpoint 1	protein_coding	9656
MGMT	O-6-methylguanine-DNA methyltransferase	protein_coding	4255
RAP1GAP	RAP1 GTPase activating protein	protein_coding	5909
MXI1	MAX interactor 1	protein_coding	4601
IMPG1	interphotoreceptor matrix proteoglycan 1	protein_coding	3617
JMJD5	jumonji domain containing 5	protein_coding	NA
HOXA10	homeobox A10	protein_coding	3206
RWDD3	RWD domain containing 3	protein_coding	25950
GPT	glutamic-pyruvate transaminase (alanine aminotransferase)	protein_coding	2875
C6orf226	chromosome 6 open reading frame 226	protein_coding	441150
RP11-185P18.1		lincRNA	NA
PTBP2	polypyrimidine tract binding protein 2	protein_coding	58155
ZNF445	zinc finger protein 445	protein_coding	353274
PTCRA	pre T-cell antigen receptor alpha	protein_coding	171558
WBP5	WW domain binding protein 5	protein_coding	51186
PSMA1	proteasome (prosome, macropain) subunit, alpha type, 1	protein_coding	5682
TOP2B	topoisomerase (DNA) II beta 180kDa	protein_coding	7155
CT45A5	cancer/testis antigen family 45, member A5	protein_coding	441521
CT45A5	cancer/testis antigen family 45, member A5	protein_coding	441521
SEMA4B	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B	protein_coding	10509
HCG4	HLA complex group 4 (non-protein coding)	pseudogene	54435
MLH1	mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)	protein_coding	4292
PCA3	prostate cancer antigen 3 (non-protein coding)	antisense	50652
NCAPH	non-SMC condensin I complex, subunit H	protein_coding	23397
ALLC	allantoicase	protein_coding	55821
MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3	protein_coding	23162
COL11A2	collagen, type XI, alpha 2	protein_coding	1302
PRR14L	proline rich 14-like	protein_coding	253143
HTR1B	5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled	protein_coding	3351
INPP1	inositol polyphosphate-1-phosphatase	protein_coding	3628
FAM114A2	family with sequence similarity 114, member A2	protein_coding	10827
CLEC2D	C-type lectin domain family 2, member D	protein_coding	29121
SLC6A4	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	protein_coding	6532
SH2B3	SH2B adaptor protein 3	protein_coding	10019
DEPDC5	DEP domain containing 5	protein_coding	9681
MFSD6	major facilitator superfamily domain containing 6	protein_coding	54842
OTOA	otoancorin	protein_coding	146183
TMEM150C	transmembrane protein 150C	protein_coding	441027
MCM2	minichromosome maintenance complex component 2	protein_coding	4171
RP11-622K12.1		lincRNA	NA
CPNE9	copine family member IX	protein_coding	151835
IRAK1BP1	interleukin-1 receptor-associated kinase 1 binding protein 1	protein_coding	134728
C6orf223	chromosome 6 open reading frame 223	protein_coding	221416
R3HDM1	R3H domain containing 1	protein_coding	23518
TFRC	transferrin receptor (p90, CD71)	protein_coding	7037
EBF3	early B-cell factor 3	protein_coding	253738
SRGN	serglycin	protein_coding	5552
COL25A1	collagen, type XXV, alpha 1	protein_coding	84570
NGFRAP1	nerve growth factor receptor (TNFRSF16) associated protein 1	protein_coding	27018
LETMD1	LETM1 domain containing 1	protein_coding	25875
HLA-H	major histocompatibility complex, class I, H (pseudogene)	pseudogene	3136
NPIP	nuclear pore complex interacting protein	protein_coding	9284
VPS26A	vacuolar protein sorting 26 homolog A (S. pombe)	protein_coding	9559
PTPN5	protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched)	protein_coding	84867
HCG9	HLA complex group 9 (non-protein coding)	processed_transcript	10255
CNPY3	canopy 3 homolog (zebrafish)	protein_coding	10695
ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2	protein_coding	10061
CDCA4	cell division cycle associated 4	protein_coding	55038
CEP128	centrosomal protein 128kDa	protein_coding	145508
HOXA11	homeobox A11	protein_coding	3207
GRAPL	GRB2-related adaptor protein-like	protein_coding	400581
HLA-J	major histocompatibility complex, class I, J (pseudogene)	pseudogene	3137
TMEM194B	transmembrane protein 194B	protein_coding	100131211
GPR132	G protein-coupled receptor 132	protein_coding	29933
MRPL14	mitochondrial ribosomal protein L14	protein_coding	64928
HOXA13	homeobox A13	protein_coding	3209
RSRC1	arginine/serine-rich coiled-coil 1	protein_coding	51319
GDNF	glial cell derived neurotrophic factor	protein_coding	2668
ATXN2	ataxin 2	protein_coding	6311
ID1	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	protein_coding	3397
ETNK1	ethanolamine kinase 1	protein_coding	55500
COX4I2	cytochrome c oxidase subunit IV isoform 2 (lung)	protein_coding	84701
TMEM63B	transmembrane protein 63B	protein_coding	55362
USP48	ubiquitin specific peptidase 48	protein_coding	84196
SCD5	stearoyl-CoA desaturase 5	protein_coding	79966
BCL2L1	BCL2-like 1	protein_coding	598
PDXDC1	pyridoxal-dependent decarboxylase domain containing 1	protein_coding	23042
RIOK1	RIO kinase 1 (yeast)	protein_coding	83732
ROBO3	roundabout, axon guidance receptor, homolog 3 (Drosophila)	protein_coding	64221
CT45A6	cancer/testis antigen family 45, member A6	protein_coding	541465
CT45A6	cancer/testis antigen family 45, member A6	protein_coding	541465
RP3-513G18.2		lincRNA	NA
PSORS1C3	psoriasis susceptibility 1 candidate 3 (non-protein coding)	processed_transcript	100130889
HCG27	HLA complex group 27 (non-protein coding)	processed_transcript	253018
TPX2	TPX2, microtubule-associated, homolog (Xenopus laevis)	protein_coding	22974
SEC24A	SEC24 family, member A (S. cerevisiae)	protein_coding	10802
PHIP	pleckstrin homology domain interacting protein	protein_coding	55023
MFSD3	major facilitator superfamily domain containing 3	protein_coding	113655
GLRX3	glutaredoxin 3	protein_coding	10539
APIP	APAF1 interacting protein	protein_coding	51074
EVX1	even-skipped homeobox 1	protein_coding	2128
EYA4	eyes absent homolog 4 (Drosophila)	protein_coding	2070
RAB40A	RAB40A, member RAS oncogene family	protein_coding	142684
MYLK2	myosin light chain kinase 2	protein_coding	85366
ANGPTL5	angiopoietin-like 5	protein_coding	253935
EEPD1	endonuclease/exonuclease/phosphatase family domain containing 1	protein_coding	80820
TCEAL4	transcription elongation factor A (SII)-like 4	protein_coding	79921
MCCC2	methylcrotonoyl-CoA carboxylase 2 (beta)	protein_coding	64087
HCP5	HLA complex P5 (non-protein coding)	processed_transcript	10866
C22orf24	chromosome 22 open reading frame 24	protein_coding	25775
NAB1	NGFI-A binding protein 1 (EGR1 binding protein 1)	protein_coding	4664
JAG2	jagged 2	protein_coding	3714
SLC38A4	solute carrier family 38, member 4	protein_coding	55089
LRRTM2	leucine rich repeat transmembrane neuronal 2	protein_coding	26045
YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide	protein_coding	7533
KIAA1377	KIAA1377	protein_coding	57562
RXRB	retinoid X receptor, beta	protein_coding	6257
FNBP4	formin binding protein 4	protein_coding	23360
RP11-397E7.3		pseudogene	NA
NSMCE1	non-SMC element 1 homolog (S. cerevisiae)	protein_coding	197370
FOXS1	forkhead box S1	protein_coding	2307
DUSP15	dual specificity phosphatase 15	protein_coding	128853
ZDHHC19	zinc finger, DHHC-type containing 19	protein_coding	131540
SEC31A	SEC31 homolog A (S. cerevisiae)	protein_coding	22872
SLC12A9	solute carrier family 12 (potassium/chloride transporters), member 9	protein_coding	56996
CHPF2	chondroitin polymerizing factor 2	protein_coding	54480
PALM2	paralemmin 2	protein_coding	114299
PPIA	peptidylprolyl isomerase A (cyclophilin A)	protein_coding	5478
AC069257.9	Organic solute transporter subunit alpha	protein_coding	NA
CLECL1	C-type lectin-like 1	protein_coding	160365
RP11-470P4.2		antisense	NA
TCERG1L	transcription elongation regulator 1-like	protein_coding	256536
ARID5A	AT rich interactive domain 5A (MRF1-like)	protein_coding	10865
SLC5A1	solute carrier family 5 (sodium/glucose cotransporter), member 1	protein_coding	6523
C4B	complement component 4B (Chido blood group)	processed_transcript	721
SAGE1	sarcoma antigen 1	protein_coding	55511
CYP21A1P	cytochrome P450, family 21, subfamily A, polypeptide 1 pseudogene	pseudogene	1590
SMNDC1	survival motor neuron domain containing 1	protein_coding	10285
ZNF167	zinc finger protein 167	protein_coding	55888
VARS	valyl-tRNA synthetase	protein_coding	7407
GLS	glutaminase	protein_coding	2744
SIL1	SIL1 homolog, endoplasmic reticulum chaperone (S. cerevisiae)	protein_coding	64374
HTR7	5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled	protein_coding	3363
PDHX	pyruvate dehydrogenase complex, component X	protein_coding	8050
ZFP90	zinc finger protein 90 homolog (mouse)	protein_coding	146198
SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	protein_coding	6604
CD69	CD69 molecule	protein_coding	969
TTLL9	tubulin tyrosine ligase-like family, member 9	protein_coding	164395
TUBB	tubulin, beta class I	protein_coding	203068
BRPF1	bromodomain and PHD finger containing, 1	protein_coding	7862
ABCC12	ATP-binding cassette, sub-family C (CFTR/MRP), member 12	protein_coding	94160
PLEKHG2	pleckstrin homology domain containing, family G (with RhoGef domain) member 2	protein_coding	64857
AMIGO2	adhesion molecule with Ig-like domain 2	protein_coding	347902
C22orf42	chromosome 22 open reading frame 42	protein_coding	150297
TNXA	tenascin XA (pseudogene)	pseudogene	7146
PCYT1A	phosphate cytidylyltransferase 1, choline, alpha	protein_coding	5130
FAM113B	family with sequence similarity 113, member B	protein_coding	91523
RFPL2	ret finger protein-like 2	protein_coding	10739
METTL21B	methyltransferase like 21B	protein_coding	25895
C11orf70	chromosome 11 open reading frame 70	protein_coding	85016
RRP8	ribosomal RNA processing 8, methyltransferase, homolog (yeast)	protein_coding	23378
PDRG1	p53 and DNA-damage regulated 1	protein_coding	81572
CDC42BPA	CDC42 binding protein kinase alpha (DMPK-like)	protein_coding	8476
ASPHD1	aspartate beta-hydroxylase domain containing 1	protein_coding	253982
NT5DC2	5'-nucleotidase domain containing 2	protein_coding	64943
SLC5A4	solute carrier family 5 (low affinity glucose cotransporter), member 4	protein_coding	6527
KIAA0895	KIAA0895	protein_coding	23366
CCZ1B	CCZ1 vacuolar protein trafficking and biogenesis associated homolog B (S. cerevisiae)	protein_coding	221960
XXbac-BPG246D15.8		processed_transcript	NA
XKR7	XK, Kell blood group complex subunit-related family, member 7	protein_coding	343702
LDLRAD2	low density lipoprotein receptor class A domain containing 2	protein_coding	401944
C20orf160	chromosome 20 open reading frame 160	protein_coding	140706
SLC39A7	solute carrier family 39 (zinc transporter), member 7	protein_coding	7922
HSPG2	heparan sulfate proteoglycan 2	protein_coding	3339
RFPL3	ret finger protein-like 3	protein_coding	10738
RPAP3	RNA polymerase II associated protein 3	protein_coding	79657
MRGPRX1	MAS-related GPR, member X1	protein_coding	259249
SEC24B	SEC24 family, member B (S. cerevisiae)	protein_coding	10427
MRGPRX2	MAS-related GPR, member X2	protein_coding	117194
DPY19L2	dpy-19-like 2 (C. elegans)	protein_coding	283417
KLRF1	killer cell lectin-like receptor subfamily F, member 1	protein_coding	51348
SOX11	SRY (sex determining region Y)-box 11	protein_coding	6664
PPP2R2D	protein phosphatase 2, regulatory subunit B, delta	protein_coding	55844
HCK	hemopoietic cell kinase	protein_coding	3055
CMPK2	cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial	protein_coding	129607
HLA-DPB2	major histocompatibility complex, class II, DP beta 2 (pseudogene)	pseudogene	3116
OXER1	oxoeicosanoid (OXE) receptor 1	protein_coding	165140
HAAO	3-hydroxyanthranilate 3,4-dioxygenase	protein_coding	23498
H2AFV	H2A histone family, member V	protein_coding	94239
HSD17B8	hydroxysteroid (17-beta) dehydrogenase 8	protein_coding	7923
ILK	integrin-linked kinase	protein_coding	3611
LSM2	LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)	protein_coding	57819
TSFM	Ts translation elongation factor, mitochondrial	protein_coding	10102
ZDHHC13	zinc finger, DHHC-type containing 13	protein_coding	54503
RSAD2	radical S-adenosyl methionine domain containing 2	protein_coding	91543
MMGT1	membrane magnesium transporter 1	protein_coding	93380
ITIH3	inter-alpha-trypsin inhibitor heavy chain 3	protein_coding	3699
C22orf28	chromosome 22 open reading frame 28	protein_coding	51493
ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	protein_coding	64411
TCTEX1D2	Tctex1 domain containing 2	protein_coding	255758
RP11-356B18.2		lincRNA	NA
PALM2-AKAP2	PALM2-AKAP2 readthrough	protein_coding	445815
PALM2-AKAP2	PALM2-AKAP2 readthrough	protein_coding	445815
RPS16	ribosomal protein S16	protein_coding	6217
KIFC1	kinesin family member C1	processed_transcript	3833
EGFLAM	EGF-like, fibronectin type III and laminin G domains	protein_coding	133584
RING1	ring finger protein 1	protein_coding	6015
SUPT5H	suppressor of Ty 5 homolog (S. cerevisiae)	protein_coding	6829
ZNF660	zinc finger protein 660	protein_coding	285349
STAT1	signal transducer and activator of transcription 1, 91kDa	protein_coding	6772
RPP30	ribonuclease P/MRP 30kDa subunit	protein_coding	10556
HSPA1L	heat shock 70kDa protein 1-like	protein_coding	3305
NUP160	nucleoporin 160kDa	protein_coding	23279
DNM1	dynamin 1	protein_coding	1759
HSPA1A	heat shock 70kDa protein 1A	protein_coding	3303
HSPA1A	heat shock 70kDa protein 1A	protein_coding	3303
TIMM50	translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae)	protein_coding	92609
CAPN11	calpain 11	protein_coding	11131
ZNHIT1	zinc finger, HIT-type containing 1	protein_coding	10467
TM9SF4	transmembrane 9 superfamily protein member 4	protein_coding	9777
VPS52	vacuolar protein sorting 52 homolog (S. cerevisiae)	protein_coding	6293
CD44	CD44 molecule (Indian blood group)	protein_coding	960
DLL3	delta-like 3 (Drosophila)	protein_coding	10683
KAT5	K(lysine) acetyltransferase 5	protein_coding	10524
SELV	selenoprotein V	protein_coding	348303
EID2B	EP300 interacting inhibitor of differentiation 2B	protein_coding	126272
LRRC14	leucine rich repeat containing 14	protein_coding	9684
EID2	EP300 interacting inhibitor of differentiation 2	protein_coding	163126
FBXO7	F-box protein 7	protein_coding	25793
SLC9A6	solute carrier family 9, subfamily A (NHE6, cation proton antiporter 6), member 6	protein_coding	10479
POU2F3	POU class 2 homeobox 3	protein_coding	25833
ANLN	anillin, actin binding protein	protein_coding	54443
DSP	desmoplakin	protein_coding	1832
DUSP5	dual specificity phosphatase 5	protein_coding	1847
TM4SF19	transmembrane 4 L six family member 19	protein_coding	116211
HSPA1B	heat shock 70kDa protein 1B	protein_coding	3304
HSPA1B	heat shock 70kDa protein 1B	protein_coding	3304
RP11-511P7.2		lincRNA	NA
MFAP3	microfibrillar-associated protein 3	protein_coding	4238
UBXN7	UBX domain protein 7	protein_coding	26043
AKAP2	A kinase (PRKA) anchor protein 2	protein_coding	11217
AKAP2	A kinase (PRKA) anchor protein 2	protein_coding	11217
TMEM136	transmembrane protein 136	protein_coding	219902
C6orf48	chromosome 6 open reading frame 48	protein_coding	50854
FAM170A	family with sequence similarity 170, member A	protein_coding	340069
PLAGL2	pleiomorphic adenoma gene-like 2	protein_coding	5326
POFUT1	protein O-fucosyltransferase 1	protein_coding	23509
BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3	protein_coding	664
FAM71D	family with sequence similarity 71, member D	protein_coding	161142
PREPL	prolyl endopeptidase-like	protein_coding	9581
ANXA10	annexin A10	protein_coding	11199
RNF144A	ring finger protein 144A	protein_coding	9781
IL4R	interleukin 4 receptor	protein_coding	3566
CELA3B	chymotrypsin-like elastase family, member 3B	protein_coding	23436
TSHR	thyroid stimulating hormone receptor	protein_coding	7253
KIF3B	kinesin family member 3B	protein_coding	9371
RNF168	ring finger protein 168, E3 ubiquitin protein ligase	protein_coding	165918
CLEC2B	C-type lectin domain family 2, member B	protein_coding	9976
LRRC24	leucine rich repeat containing 24	protein_coding	441381
C3orf43	chromosome 3 open reading frame 43	protein_coding	255798
SYN3	synapsin III	protein_coding	8224
SMC3	structural maintenance of chromosomes 3	protein_coding	9126
SUPV3L1	suppressor of var1, 3-like 1 (S. cerevisiae)	protein_coding	6832
CELA3A	chymotrypsin-like elastase family, member 3A	protein_coding	10136
ARHGEF12	Rho guanine nucleotide exchange factor (GEF) 12	protein_coding	23365
ZNF197	zinc finger protein 197	protein_coding	10168
WDR53	WD repeat domain 53	protein_coding	348793
CARTPT	CART prepropeptide	protein_coding	9607
JAKMIP3	Janus kinase and microtubule interacting protein 3	protein_coding	282973
NME3	non-metastatic cells 3, protein expressed in	protein_coding	4832
CDC42	cell division cycle 42 (GTP binding protein, 25kDa)	protein_coding	998
FAM75D5	family with sequence similarity 75, member D5, pseudogene	pseudogene	347127
CLDN15	claudin 15	protein_coding	24146
HMGN3	high mobility group nucleosomal binding domain 3	protein_coding	9324
ASXL1	additional sex combs like 1 (Drosophila)	protein_coding	171023
CIB1	calcium and integrin binding 1 (calmyrin)	protein_coding	10519
KCTD13	potassium channel tetramerisation domain containing 13	protein_coding	253980
SLC29A1	solute carrier family 29 (nucleoside transporters), member 1	protein_coding	2030
TCEAL3	transcription elongation factor A (SII)-like 3	protein_coding	85012
FBXO45	F-box protein 45	protein_coding	200933
LRRC33	leucine rich repeat containing 33	protein_coding	375387
C8orf82	chromosome 8 open reading frame 82	protein_coding	414919
PIGX	phosphatidylinositol glycan anchor biosynthesis, class X	protein_coding	54965
NQO1	NAD(P)H dehydrogenase, quinone 1	protein_coding	1728
BMS1P1	BMS1 pseudogene 1	pseudogene	728053
TIMP3	TIMP metallopeptidase inhibitor 3	protein_coding	7078
C15orf58	chromosome 15 open reading frame 58	protein_coding	NA
NUDT14	nudix (nucleoside diphosphate linked moiety X)-type motif 14	protein_coding	256281
MAP1B	microtubule-associated protein 1B	protein_coding	4131
ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	protein_coding	3398
MLF1	myeloid leukemia factor 1	protein_coding	4291
TCEAL1	transcription elongation factor A (SII)-like 1	protein_coding	9338
GPR171	G protein-coupled receptor 171	protein_coding	29909
PURB	purine-rich element binding protein B	protein_coding	5814
P2RY14	purinergic receptor P2Y, G-protein coupled, 14	protein_coding	9934
GALNT10	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)	protein_coding	55568
C20orf112	chromosome 20 open reading frame 112	protein_coding	140688
RP11-314A15.2		pseudogene	NA
MYO1G	myosin IG	protein_coding	64005
STAT4	signal transducer and activator of transcription 4	protein_coding	6775
ARHGAP39	Rho GTPase activating protein 39	protein_coding	80728
FIS1	fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)	protein_coding	51024
GPR133	G protein-coupled receptor 133	protein_coding	283383
PRR16	proline rich 16	protein_coding	51334
CTD-2335A18.1		lincRNA	NA
KLRF2	killer cell lectin-like receptor subfamily F, member 2	protein_coding	100431172
TTLL13	tubulin tyrosine ligase-like family, member 13	protein_coding	440307
TMEM5	transmembrane protein 5	protein_coding	10329
OGG1	8-oxoguanine DNA glycosylase	protein_coding	4968
NAA35	N(alpha)-acetyltransferase 35, NatC auxiliary subunit	protein_coding	60560
LARGE	like-glycosyltransferase	protein_coding	9215
C9orf152	chromosome 9 open reading frame 152	protein_coding	401546
ZNF35	zinc finger protein 35	protein_coding	7584
WNT4	wingless-type MMTV integration site family, member 4	protein_coding	54361
ENDOU	endonuclease, polyU-specific	protein_coding	8909
PODXL2	podocalyxin-like 2	protein_coding	50512
CCDC109B	coiled-coil domain containing 109B	protein_coding	55013
MATR3	matrin 3	protein_coding	9782
MATR3	matrin 3	protein_coding	9782
FAM168A	family with sequence similarity 168, member A	protein_coding	23201
ZBTB40	zinc finger and BTB domain containing 40	protein_coding	9923
MORF4L2	mortality factor 4 like 2	protein_coding	9643
RABL5	RAB, member RAS oncogene family-like 5	protein_coding	64792
TXN	thioredoxin	protein_coding	7295
GPR87	G protein-coupled receptor 87	protein_coding	53836
ABTB1	ankyrin repeat and BTB (POZ) domain containing 1	protein_coding	80325
BRP44L	brain protein 44-like	protein_coding	51660
KIDINS220	kinase D-interacting substrate, 220kDa	protein_coding	57498
CEP19	centrosomal protein 19kDa	protein_coding	84984
P2RY13	purinergic receptor P2Y, G-protein coupled, 13	protein_coding	53829
RP11-429B14.2		lincRNA	NA
TMEM219	transmembrane protein 219	protein_coding	124446
ZC3HC1	zinc finger, C3HC-type containing 1	protein_coding	51530
PAK2	p21 protein (Cdc42/Rac)-activated kinase 2	protein_coding	5062
GTF2A1	general transcription factor IIA, 1, 19/37kDa	protein_coding	2957
P2RY12	purinergic receptor P2Y, G-protein coupled, 12	protein_coding	64805
COMMD7	COMM domain containing 7	protein_coding	149951
CLEC2A	C-type lectin domain family 2, member A	protein_coding	387836
SRGAP1	SLIT-ROBO Rho GTPase activating protein 1	protein_coding	57522
EPHA8	EPH receptor A8	protein_coding	2046
RP4-555L14.5		processed_transcript	NA
DDX60	DEAD (Asp-Glu-Ala-Asp) box polypeptide 60	protein_coding	55601
C9orf139	chromosome 9 open reading frame 139	protein_coding	401563
MPP5	membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5)	protein_coding	64398
ZNF605	zinc finger protein 605	protein_coding	100289635
FHL1	four and a half LIM domains 1	protein_coding	2273
IGSF10	immunoglobulin superfamily, member 10	protein_coding	285313
FUT7	fucosyltransferase 7 (alpha (1,3) fucosyltransferase)	protein_coding	2529
DNMT3B	DNA (cytosine-5-)-methyltransferase 3 beta	protein_coding	1789
RP11-314P12.2		lincRNA	NA
NPDC1	neural proliferation, differentiation and control, 1	protein_coding	56654
SENP5	SUMO1/sentrin specific peptidase 5	protein_coding	205564
PLEKHB1	pleckstrin homology domain containing, family B (evectins) member 1	protein_coding	58473
UBXN4	UBX domain protein 4	protein_coding	23190
NOB1	NIN1/RPN12 binding protein 1 homolog (S. cerevisiae)	protein_coding	28987
MZT2B	mitotic spindle organizing protein 2B	protein_coding	80097
MZT2B	mitotic spindle organizing protein 2B	protein_coding	80097
YAP1	Yes-associated protein 1	protein_coding	10413
NGRN	neugrin, neurite outgrowth associated	protein_coding	51335
C1QA	complement component 1, q subcomponent, A chain	protein_coding	712
C1GALT1	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1	protein_coding	56913
ITIH4	inter-alpha-trypsin inhibitor heavy chain family, member 4	protein_coding	3700
LHCGR	luteinizing hormone/choriogonadotropin receptor	protein_coding	3973
ZNF26	zinc finger protein 26	protein_coding	7574
HKDC1	hexokinase domain containing 1	protein_coding	80201
AADACL2	arylacetamide deacetylase-like 2	protein_coding	344752
MYO1B	myosin IB	protein_coding	4430
TAOK2	TAO kinase 2	protein_coding	9344
LCA5	Leber congenital amaurosis 5	protein_coding	167691
AADAC	arylacetamide deacetylase (esterase)	protein_coding	13
ROBO4	roundabout, axon guidance receptor, homolog 4 (Drosophila)	protein_coding	54538
DPYSL4	dihydropyrimidinase-like 4	protein_coding	10570
FABP5P3	fatty acid binding protein 5 pseudogene 3	pseudogene	220832
GBGT1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1	protein_coding	26301
TUBA3E	tubulin, alpha 3e	protein_coding	112714
LIMK1	LIM domain kinase 1	protein_coding	3984
ISX	intestine-specific homeobox	protein_coding	91464
SUCNR1	succinate receptor 1	protein_coding	56670
CDT1	chromatin licensing and DNA replication factor 1	protein_coding	81620
RP5-1129J21.3		lincRNA	NA
MRPS34	mitochondrial ribosomal protein S34	protein_coding	65993
RP11-257I8.1		pseudogene	NA
HMGXB4	HMG box domain containing 4	protein_coding	10042
ASB14	ankyrin repeat and SOCS box containing 14	protein_coding	142686
SNRNP48	small nuclear ribonucleoprotein 48kDa (U11/U12)	protein_coding	154007
MBNL1	muscleblind-like splicing regulator 1	protein_coding	4154
FANK1	fibronectin type III and ankyrin repeat domains 1	protein_coding	92565
ZNF774	zinc finger protein 774	protein_coding	342132
RELL2	RELT-like 2	protein_coding	285613
RPS6KA2	ribosomal protein S6 kinase, 90kDa, polypeptide 2	protein_coding	6196
CASP6	caspase 6, apoptosis-related cysteine peptidase	protein_coding	839
NGLY1	N-glycanase 1	protein_coding	55768
SCUBE3	signal peptide, CUB domain, EGF-like 3	protein_coding	222663
ZNF251	zinc finger protein 251	protein_coding	90987
DNAH12	dynein, axonemal, heavy chain 12	protein_coding	201625
ZNF502	zinc finger protein 502	protein_coding	91392
TOM1	target of myb1 (chicken)	protein_coding	10043
CTSL1P7	cathepsin L1 pseudogene 7	pseudogene	100133189
LIFR	leukemia inhibitory factor receptor alpha	protein_coding	3977
ZNF84	zinc finger protein 84	protein_coding	7637
SH3BGRL2	SH3 domain binding glutamic acid-rich protein like 2	protein_coding	83699
RNASEH2C	ribonuclease H2, subunit C	protein_coding	84153
STON2	stonin 2	protein_coding	85439
RAPGEF3	Rap guanine nucleotide exchange factor (GEF) 3	protein_coding	10411
ELOVL4	ELOVL fatty acid elongase 4	protein_coding	6785
C1QC	complement component 1, q subcomponent, C chain	protein_coding	714
CCDC115	coiled-coil domain containing 115	protein_coding	84317
CLEC12A	C-type lectin domain family 12, member A	protein_coding	160364
NCBP2	nuclear cap binding protein subunit 2, 20kDa	protein_coding	22916
ZNF501	zinc finger protein 501	protein_coding	115560
CAMKMT	calmodulin-lysine N-methyltransferase	protein_coding	79823
TXNDC8	thioredoxin domain containing 8 (spermatozoa)	protein_coding	255220
GFM1	G elongation factor, mitochondrial 1	protein_coding	85476
CDH3	cadherin 3, type 1, P-cadherin (placental)	protein_coding	1001
FSHR	follicle stimulating hormone receptor	protein_coding	2492
BMP6	bone morphogenetic protein 6	protein_coding	654
GRIK4	glutamate receptor, ionotropic, kainate 4	protein_coding	2900
SAP30L	SAP30-like	protein_coding	79685
NTAN1	N-terminal asparagine amidase	protein_coding	123803
CSRP3	cysteine and glycine-rich protein 3 (cardiac LIM protein)	protein_coding	8048
IQGAP1	IQ motif containing GTPase activating protein 1	protein_coding	8826
MRPS27	mitochondrial ribosomal protein S27	protein_coding	23107
SLC2A6	solute carrier family 2 (facilitated glucose transporter), member 6	protein_coding	11182
C12orf66	chromosome 12 open reading frame 66	protein_coding	144577
ABCC11	ATP-binding cassette, sub-family C (CFTR/MRP), member 11	protein_coding	85320
APRT	adenine phosphoribosyltransferase	protein_coding	353
FTMT	ferritin mitochondrial	protein_coding	94033
CTD-2366F13.1		lincRNA	NA
BRF1	BRF1 homolog, subunit of RNA polymerase III transcription initiation factor IIIB (S. cerevisiae)	protein_coding	2972
WWP2	WW domain containing E3 ubiquitin protein ligase 2	protein_coding	11060
HIVEP2	human immunodeficiency virus type I enhancer binding protein 2	protein_coding	3097
THADA	thyroid adenoma associated	protein_coding	63892
ERGIC2	ERGIC and golgi 2	protein_coding	51290
FAM60A	family with sequence similarity 60, member A	protein_coding	58516
SFSWAP	splicing factor, suppressor of white-apricot homolog (Drosophila)	protein_coding	6433
LCT	lactase	protein_coding	3938
KLHDC10	kelch domain containing 10	protein_coding	23008
ANKRD1	ankyrin repeat domain 1 (cardiac muscle)	protein_coding	27063
MCM6	minichromosome maintenance complex component 6	protein_coding	4175
ANAPC11	anaphase promoting complex subunit 11	protein_coding	51529
CBLB	Cbl proto-oncogene, E3 ubiquitin protein ligase B	protein_coding	868
FTSJD1	FtsJ methyltransferase domain containing 1	protein_coding	55783
MAPRE1	microtubule-associated protein, RP/EB family, member 1	protein_coding	22919
EME2	essential meiotic endonuclease 1 homolog 2 (S. pombe)	protein_coding	197342
CSRNP2	cysteine-serine-rich nuclear protein 2	protein_coding	81566
E2F8	E2F transcription factor 8	protein_coding	79733
GTF2IRD2	GTF2I repeat domain containing 2	protein_coding	84163
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif, 4	protein_coding	9507
ZNF140	zinc finger protein 140	protein_coding	7699
GOLM1	golgi membrane protein 1	protein_coding	51280
